ConfirmedDate,LabNo,ALSC,Station,DepthMeters,SampleDate,Time,SO4,NO3,CI,F,ANC,DIC,DOC,SIO2,CA2+,MG2+,Na+,K+,NH4+,AL_TD,AL_TM,AL_OM,AL_IM,LABPH,AIREQPH,TRUCOLOR,SCONDUCT,TOTAL_PHOS,CHLOROPHYLL
1993.02.01,93L0126,020058,1,0,1993.02.01,1345,4.920,0.528,0.710,0.078,17.530,2.380,14.484,6.780,2.710,0.580,0.830,0.450,0.087,243,199,172,27,5.014,5.200,140,27.57,,
1993.03.01,93L0192,020058,1,0,1993.03.01,1240,4.490,0.343,0.650,0.072,20.900,2.620,13.943,5.000,2.440,0.510,0.810,0.450,0.135,250,196,155,41,5.236,5.590,90,24.57,,
1993.04.01,93L0270,020058,1,0,1993.04.05,1220,4.920,0.620,0.340,0.074,7.160,3.090,12.876,5.090,1.970,0.490,0.620,0.520,0.065,156,235,172,63,4.902,4.960,110,25.93,,
1993.05.01,93L0472,020058,1,0,1993.05.12,1125,3.260,-0.007,0.300,0.064,14.720,0.830,10.614,3.420,1.340,0.370,0.450,0.470,0.011,219,150,110,40,5.180,5.300,100,18.02,,
1993.06.01,93L0527,020058,1,0,1993.06.02,0950,3.770,-0.013,0.270,0.069,10.180,0.940,10.676,3.370,1.790,0.470,0.470,0.360,0.005,62,214,156,58,5.175,5.350,120,18.53,,
1993.07.01,93L0635,020058,1,0,1993.07.06,1145,3.740,-0.006,0.300,0.072,25.310,1.060,10.844,1.070,1.490,0.440,0.470,0.320,0.048,234,107,106,1,5.453,5.830,100,18.92,,
1993.08.01,93L0772,020058,1,0,1993.08.02,1345,3.650,-0.015,0.290,0.077,25.910,0.760,9.100,0.900,1.760,0.460,0.570,0.340,0.004,210,72,101,0,5.577,5.770,80,18.12,,
1993.09.01,93L0871,020058,1,0,1993.09.02,1150,3.930,-0.025,0.280,0.077,29.480,0.710,10.561,0.630,1.860,0.480,0.540,0.320,0.011,188,79,22,57,5.728,6.040,90,18.93,,
1993.10.01,93L0962,020058,1,0,1993.10.05,0955,4.020,0.006,0.410,0.072,30.120,1.450,12.157,2.840,2.040,0.530,0.570,0.310,-0.004,224,178,158,20,5.490,5.860,120,20.49,,
1993.11.01,93L1052,020058,1,0,1993.11.01,1425,3.940,0.050,0.420,0.072,38.210,1.360,13.651,3.800,2.120,0.550,0.620,0.340,0.077,252,141,132,9,5.743,5.950,110,21.02,,
1993.12.01,93L1155,020058,1,0,1993.12.01,1235,4.210,0.109,0.480,0.070,23.980,0.840,12.700,5.130,2.230,0.670,0.600,0.340,0.083,265,165,139,26,5.606,5.750,140,21.55,,
1994.01.01,94L0003,020058,1,0,1994.01.03,1245,4.820,0.200,0.490,0.082,35.120,1.290,14.118,5.680,2.510,0.620,0.740,0.430,0.105,288,187,133,54,5.545,5.670,140,25.05,,
1994.02.01,94L0101,020058,1,0,1994.02.01,0915,5.840,0.779,0.880,0.091,26.550,1.140,16.550,6.260,2.740,0.760,1.110,0.420,0.203,319,201,89,112,5.278,5.380,200,30.08,,
1994.03.01,94L0188,020058,1,0.5,1994.03.01,1220,5.310,0.502,0.600,0.082,28.590,1.310,15.808,5.990,2.620,0.650,0.840,0.430,0.136,318,160,119,41,5.354,5.480,160,27.09,,
1994.04.01,94L0322,020058,1,0,1994.04.04,1305,4.860,0.464,0.460,0.077,26.500,2.260,12.403,4.970,2.250,0.590,0.650,0.350,0.177,295,74,182,0,5.302,5.560,120,24.72,,
1994.05.01,94L0446,020058,1,0.5,1994.05.02,1230,3.680,0.354,0.370,0.065,17.850,2.320,12.198,4.310,1.710,0.450,0.500,0.360,0.139,263,206,160,46,5.199,5.500,110,20.05,,
1994.06.01,94L0563,020058,1,0,1994.06.01,1235,3.910,-0.006,0.330,0.083,12.790,0.620,11.614,2.970,1.740,0.460,0.520,0.330,-0.006,273,121,97,24,5.396,5.370,120,19.63,,
1994.07.01,94L0693,020058,1,0,1994.07.06,1208,3.820,0.014,0.240,0.075,22.160,0.460,11.792,1.350,1.710,0.440,0.490,0.280,0.020,245,128,131,0,5.510,5.640,100,19.56,,
1994.08.01,94L0833,020058,1,0,1994.08.02,1235,4.000,-0.002,0.250,0.074,26.050,1.160,12.801,1.000,1.980,0.490,0.520,0.240,-0.003,223,185,145,40,5.541,5.700,100,19.71,,
1994.09.01,94L0960,020058,1,0,1994.09.07,1240,4.190,0.006,0.260,0.082,28.860,1.490,15.519,1.680,1.690,0.460,0.490,0.230,-0.005,247,137,96,41,5.471,5.630,110,21.80,,
1994.10.01,94L1020,020058,91,0,1994.10.03,0945,4.130,0.005,0.280,0.082,26.510,1.520,12.414,2.060,2.000,0.520,0.540,0.290,0.003,249,129,84,45,5.437,5.690,120,21.53,,
1994.10.01,94L1021,020058,92,0,1994.10.03,0948,4.160,0.005,0.280,0.081,28.300,1.700,12.237,1.940,2.040,0.530,0.530,0.290,0.003,253,129,87,42,5.435,5.770,120,21.53,,
1994.10.01,94L1022,020058,93,0,1994.10.03,0950,4.200,0.005,0.280,0.081,27.600,1.720,12.267,1.980,2.010,0.530,0.520,0.290,0.003,247,129,81,48,5.431,5.730,120,21.43,,
1994.11.01,94L1149,020058,1,0,1994.11.02,1200,4.240,0.020,0.310,0.077,27.310,1.350,11.676,3.340,1.960,0.500,0.530,0.280,0.024,79,127,109,18,5.521,5.830,100,20.79,,
1994.12.01,94L1233,020058,1,0,1994.12.01,1225,4.280,0.121,0.380,0.077,24.730,0.660,14.200,3.840,2.220,0.540,0.510,0.320,0.054,250,151,121,30,5.591,5.680,140,22.99,,
1995.01.01,95L0008,020058,1,0.5,1995.01.03,1325,4.630,0.083,0.420,0.084,24.860,1.490,14.548,5.130,2.310,0.590,0.540,0.370,0.059,299,154,127,27,5.356,5.470,140,24.73,,
1995.02.01,95L0102,020058,1,0,1995.02.01,1305,4.580,0.439,0.420,0.072,16.390,1.740,13.638,5.650,2.060,0.510,0.560,0.360,0.092,316,158,127,31,5.068,5.170,140,24.60,,
1995.03.01,95L0259,020058,1,0,1995.03.08,1300,4.490,0.455,0.380,0.072,14.160,1.670,14.225,5.380,2.040,0.540,0.550,0.350,0.107,343,173,153,20,5.020,5.100,160,25.38,,
1995.04.01,95L0315,020058,1,0,1995.04.03,0940,3.860,0.177,0.310,0.069,16.330,2.310,12.312,4.600,2.060,0.500,0.520,0.320,0.006,292,181,138,43,5.124,5.270,120,22.04,,
1995.05.01,95L0408,020058,1,0,1995.05.01,1110,4.080,0.019,0.350,0.068,19.580,0.430,10.045,5.540,1.860,0.520,0.520,0.360,0.003,286,173,147,26,5.485,5.450,100,21.30,,
1995.06.01,95L0497,020058,1,0,1995.06.01,0900,4.200,0.021,0.350,0.074,24.270,0.780,9.943,2.500,2.060,0.500,0.540,0.310,0.004,243,148,114,34,5.456,5.590,100,20.64,,
1995.07.01,95L0629,020058,1,0.5,1995.07.06,1155,4.650,-0.001,0.370,0.076,28.560,0.460,9.687,0.710,2.100,0.550,0.570,0.360,0.004,197,97,87,10,5.840,5.990,80,21.81,,
1995.08.01,95L0833,020058,1,0,1995.08.01,1255,5.150,0.002,0.330,0.082,25.230,1.210,10.015,0.670,2.070,0.560,0.590,0.340,0.007,162,128,88,40,5.696,5.960,60,21.90,,
1995.09.01,95L1076,020058,1,0,1995.09.12,0905,5.390,0.003,0.330,0.080,28.360,1.520,12.579,1.690,2.330,0.590,0.590,0.280,0.010,224,136,124,12,5.459,5.720,80,23.95,,
1995.10.01,95L1112,020058,1,0,1995.10.02,1255,5.280,0.000,0.340,0.079,29.000,1.900,10.574,1.620,2.100,0.600,0.580,0.300,0.005,210,116,87,29,5.513,5.880,60,23.94,,
1995.11.01,95L1236,020058,1,0,1995.11.01,0930,5.300,0.000,0.360,0.074,25.570,1.650,13.190,3.370,2.410,0.620,0.590,0.330,0.041,272,184,148,36,5.405,5.700,140,25.29,,
1995.12.01,95L1358,020058,1,0,1995.12.19,1015,,,,,28.390,,,,,,,,,,,,,5.402,5.540,,26.18,,
1996.01.01,96L0016,020058,1,0.5,1996.01.04,1145,5.588,0.067,0.363,,29.000,1.641,12.949,3.716,2.585,0.654,0.769,0.390,0.098,253,155,113,42,5.370,5.630,120,25.77,,
1996.02.01,96L0098,020058,1,0.5,1996.02.12,1130,6.102,0.432,0.495,0.033,16.770,2.512,14.278,3.268,2.470,0.649,0.822,0.454,0.144,282,219,142,77,5.140,5.240,140,29.52,,
1996.03.01,96L0130,020058,1,0.5,1996.03.05,1020,6.286,0.632,0.334,0.043,17.380,2.881,13.728,4.556,2.780,0.693,0.728,0.430,0.136,250,201,134,67,5.065,5.190,140,29.50,,
1996.04.01,96L0198,020058,1,0,1996.04.09,1015,5.389,0.763,0.369,0.065,-5.500,1.239,11.121,6.790,2.039,0.539,0.693,0.410,0.078,135,237,166,71,4.776,4.830,100,25.81,,
1996.05.01,96L0277,020058,1,0,1996.05.15,1245,4.352,0.242,0.262,0.065,15.840,1.513,11.711,3.938,1.928,0.498,0.579,0.336,0.029,256,183,132,51,5.184,5.300,100,21.37,,
1996.06.01,96L0340,020058,1,0,1996.06.04,1215,4.100,0.224,0.290,0.075,16.570,0.930,13.183,3.860,1.870,0.500,0.500,0.310,0.005,338,211,178,33,5.249,5.350,120,21.04,,
1996.07.01,96L0486,020058,1,0,1996.07.10,1150,3.840,0.243,0.200,0.084,23.490,0.770,13.413,2.380,1.770,0.480,0.480,0.240,0.013,297,181,176,5,5.299,5.490,100,20.09,,
1996.08.01,96L0727,020058,1,0,1996.08.14,1210,3.370,0.142,0.230,0.082,34.010,0.910,12.454,0.870,1.990,0.490,0.470,0.230,0.004,295,163,132,31,5.548,5.790,100,19.76,,
1996.09.01,96L0821,020058,1,0,1996.09.11,1240,3.880,0.120,0.260,0.085,37.330,0.820,11.167,1.460,2.010,0.480,0.500,0.200,0.001,249,113,111,2,5.761,6.030,50,19.29,,
1996.10.01,96L0924,020058,1,0,1996.10.09,1135,4.100,0.106,0.250,0.070,35.770,1.530,12.533,2.770,2.060,0.510,0.510,0.280,0.013,8,203,144,59,5.598,6.030,100,21.23,,
1996.11.01,96L1025,020058,1,0,1996.11.14,1200,4.020,0.164,0.290,0.074,33.040,0.980,16.037,4.610,2.070,0.520,0.490,0.360,0.053,306,221,201,20,5.353,5.510,160,22.49,,
1996.12.01,96L1075,020058,1,0,1996.12.10,1240,4.090,0.270,0.250,0.072,3.500,1.090,17.148,6.320,2.280,0.490,0.510,0.270,0.027,337,240,240,0,4.796,4.790,160,25.29,,
1997.01.01,97L0070,020058,1,0,1997.01.15,1330,5.270,0.589,0.290,0.069,2.040,1.770,15.437,7.610,2.180,0.540,0.580,0.270,0.045,342,249,209,40,4.778,4.770,160,28.70,,
1997.02.01,97L0136,020058,91,0,1997.02.11,1242,5.440,0.461,0.320,0.084,10.830,2.390,15.299,7.920,1.990,0.540,0.600,0.350,0.074,343,189,141,48,4.899,4.990,180,27.99,,
1997.02.01,97L0137,020058,92,0,1997.02.11,1245,5.440,0.446,0.300,0.082,9.680,2.380,15.585,8.210,1.960,0.540,0.570,0.340,0.074,341,193,133,60,4.882,4.970,180,27.99,,
1997.02.01,97L0138,020058,93,0,1997.02.11,1248,5.430,0.435,0.310,0.084,12.500,2.310,15.585,8.300,1.980,0.540,0.590,0.340,0.076,298,169,129,40,4.904,4.990,180,27.99,,
1997.03.01,97L0229,020058,1,0,1997.03.12,1230,5.180,0.717,0.260,0.072,2.050,2.260,13.389,6.730,1.980,0.480,0.520,0.370,0.043,315,159,143,16,4.745,4.770,100,28.08,,
1997.04.01,97L0338,020058,1,0,1997.04.14,1225,3.580,1.089,0.230,0.063,-1.140,1.700,11.436,5.950,1.430,0.380,0.480,0.470,0.016,298,181,149,32,4.765,4.820,100,23.89,,
1997.05.01,97L0421,020058,1,0,1997.05.12,1200,3.550,0.213,0.250,0.070,20.920,1.010,12.350,6.130,3.580,1.020,1.050,0.310,0.069,263,171,143,28,5.325,5.460,100,19.79,,
1997.06.01,97L0535,020058,1,0,1997.06.09,1150,3.720,0.018,0.230,0.074,27.970,0.620,11.652,2.850,1.730,0.420,0.510,0.310,-0.009,229,165,149,16,5.528,5.760,80,18.97,,
1997.07.01,97L0664,020058,1,0,1997.07.08,1150,3.890,0.065,0.270,0.065,26.090,0.630,11.323,1.570,1.690,0.420,0.510,0.280,0.016,207,143,108,35,5.541,5.750,90,19.33,,
1997.08.01,97L0850,020058,1,0,1997.08.11,1245,3.770,0.020,0.230,0.077,15.050,0.900,11.809,0.830,1.800,0.500,0.540,0.240,-0.003,213,131,130,1,5.657,5.990,110,19.60,,
1997.09.01,97L0966,020058,1,0,1997.09.09,1230,3.890,0.021,0.220,0.071,38.340,0.830,12.138,1.740,2.180,0.480,0.520,0.220,-0.012,191,126,105,21,5.658,5.990,80,20.21,,
1997.10.01,97L1068,020058,1,0,1997.10.01,1220,4.160,0.025,0.250,0.072,35.960,1.200,11.279,2.690,1.830,0.470,0.510,0.210,0.005,235,125,103,22,5.670,6.000,110,20.04,,
1997.11.01,97L1214,020058,1,0,1997.11.10,1215,4.030,0.069,0.320,0.070,42.520,1.260,11.840,4.680,1.980,0.490,0.560,0.310,0.080,247,129,120,9,5.817,6.230,110,21.30,,
1997.12.01,97L1312,020058,1,0,1997.12.08,1330,4.260,0.156,0.320,0.070,45.470,1.360,12.992,6.380,2.150,0.520,0.570,0.270,0.091,260,144,123,21,5.639,6.340,100,22.52,,
1998.01.01,98L0034,020058,1,0,1998.01.13,1030,4.130,0.627,0.290,0.061,-2.110,2.090,14.448,5.433,1.740,0.420,0.420,0.340,0.052,293,231,184,47,4.701,4.740,110,26.20,,
1998.02.01,98L0136,020058,91,0.5,1998.02.09,1220,4.700,0.483,0.370,0.068,8.860,1.710,14.585,6.325,1.770,0.460,0.510,0.350,0.073,281,193,165,28,4.854,4.950,110,25.27,,
1998.02.01,98L0137,020058,92,0.5,1998.02.09,1222,4.640,0.434,0.330,0.067,10.250,1.770,14.742,6.286,2.040,0.490,0.500,0.340,0.070,281,188,165,23,4.882,4.960,110,25.37,,
1998.02.01,98L0138,020058,93,0.5,1998.02.09,1225,4.680,0.355,0.310,0.067,14.650,1.850,14.785,6.286,1.740,0.460,0.510,0.340,0.070,244,193,170,23,4.916,5.020,110,25.07,,
1998.03.01,98L0227,020058,1,0.5,1998.03.10,1220,4.770,1.249,0.360,0.070,8.480,1.530,12.529,6.367,1.840,0.450,0.540,0.310,0.081,260,185,117,68,4.903,5.000,120,27.08,,
1998.04.01,98L0262,020058,1,0,1998.04.01,1235,3.070,0.990,0.120,0.060,-14.450,1.810,13.101,5.036,1.300,0.300,0.310,0.390,0.011,307,203,161,42,4.601,4.600,90,24.13,,
1998.05.01,98L0432,020058,91,0,1998.05.12,1420,3.350,0.016,0.260,0.068,26.180,0.790,11.334,4.170,1.600,0.390,0.450,0.300,0.062,238,155,129,26,5.502,5.640,110,18.40,,
1998.05.01,98L0433,020058,92,0,1998.05.12,1422,3.390,0.016,0.280,0.068,25.170,0.830,11.074,3.963,1.550,0.380,0.450,0.290,0.014,241,146,124,22,5.503,5.620,110,18.40,,
1998.05.01,98L0434,020058,93,0,1998.05.12,1424,3.350,0.016,0.270,0.068,24.050,0.860,11.151,3.928,1.580,0.410,0.450,0.290,0.039,240,146,124,22,5.502,5.590,110,18.30,,
1998.06.01,98L0540,020058,91,0,1998.06.08,1215,3.600,0.046,0.230,0.069,32.020,0.640,11.797,3.216,1.100,0.400,0.480,0.310,0.004,233,137,109,28,5.596,5.830,140,19.14,,
1998.06.01,98L0541,020058,92,0,1998.06.08,1217,3.620,0.052,0.240,0.072,30.460,0.670,11.973,3.216,1.640,0.400,0.480,0.310,0.007,239,142,109,33,5.620,5.860,140,18.85,,
1998.06.01,98L0542,020058,93,0,1998.06.08,1220,3.600,0.045,0.240,0.071,29.860,0.680,11.934,3.163,1.660,0.390,0.480,0.310,0.007,245,146,117,29,5.616,5.820,140,18.65,,
1998.07.01,98L0703,020058,1,0,1998.07.07,1300,2.640,0.014,0.230,0.077,22.680,1.280,19.205,3.841,1.820,0.390,0.480,0.450,0.011,369,227,150,77,5.072,5.190,180,21.11,,
1998.08.01,98L0872,020058,1,0,1998.08.10,1413,2.900,0.016,0.260,0.015,34.960,0.890,17.381,3.552,1.890,0.420,0.490,0.440,0.011,364,184,147,37,5.535,5.650,200,17.24,,
1998.09.01,98L0990,020058,1,0,1998.09.08,1415,2.790,0.015,0.250,0.085,40.470,0.860,15.606,3.782,1.960,0.430,0.570,0.340,-0.010,306,149,112,37,5.649,5.870,110,19.91,,
1998.10.01,98L1108,020058,1,0,1998.10.13,1335,3.340,0.014,0.310,0.070,47.490,1.260,14.681,5.952,1.920,0.530,0.600,0.380,-0.003,260,151,137,14,5.810,6.130,160,21.16,,
1998.11.01,98L1199,020058,1,0,1998.11.09,0942,3.470,0.051,0.330,0.069,63.620,1.270,12.204,7.911,1.960,0.550,0.610,0.340,0.114,189,114,40,74,6.119,6.480,120,22.43,,
1998.12.01,98L1310,020058,1,0,1998.12.08,1100,3.730,0.167,0.350,0.069,60.620,0.990,12.346,8.329,1.900,0.540,0.640,0.370,0.340,221,107,100,7,6.146,6.610,160,21.09,,
1999.01.01,99L0077,020058,1,0,1999.01.12,1415,4.250,0.291,0.440,0.078,66.520,1.420,13.434,8.518,2.050,0.610,0.800,0.480,0.179,269,128,124,4,6.031,6.560,160,25.40,,
1999.02.01,99L0176,020058,1,0,1999.02.09,1250,4.170,0.745,0.410,0.074,41.710,2.140,12.831,8.556,1.860,0.570,0.700,0.530,0.306,285,160,115,45,5.798,6.220,140,25.00,,
1999.03.01,99L0271,020058,1,0,1999.03.09,1235,4.500,0.787,0.430,0.082,53.210,2.340,13.508,9.003,2.140,0.610,0.780,0.560,0.191,249,234,163,71,5.708,6.240,160,26.30,,
1999.04.01,99L0365,020058,1,0,1999.04.07,1235,3.240,1.874,0.330,0.066,21.020,2.000,10.274,6.512,1.830,0.440,0.550,0.610,0.104,214,153,123,30,5.202,5.460,90,22.50,,
1999.05.01,99L0513,020058,1,0,1999.05.11,0925,3.590,0.271,0.360,0.069,43.570,0.660,10.650,5.343,1.800,0.480,0.650,0.480,0.005,221,82,66,16,6.019,6.310,100,20.62,,
1999.06.01,99L0619,020058,1,0,1999.06.07,1230,3.640,0.056,0.380,0.079,51.200,1.710,9.840,1.548,1.800,0.480,0.660,0.430,0.096,178,76,68,8,5.899,6.500,120,20.62,,
1999.07.01,99L0768,020058,1,0,1999.07.06,1235,3.760,0.018,0.360,0.075,44.220,1.130,10.129,1.436,1.800,0.480,0.640,0.460,-0.023,146,64,66,0,5.989,6.500,80,20.50,,
1999.08.01,99L0972,020058,1,0,1999.08.09,1323,3.840,0.043,0.330,0.076,49.720,1.200,12.552,1.350,2.050,0.500,0.680,0.470,0.020,172,82,73,9,6.063,6.490,90,21.40,,
1999.09.01,99L1069,020058,1,0.5,1999.09.01,1015,3.960,0.022,0.380,0.072,47.330,0.650,10.379,1.350,2.100,0.550,0.690,0.450,0.016,149,77,40,37,6.063,6.480,90,21.80,,
1999.10.01,99L1268,020058,1,0,1999.10.12,1342,4.020,0.025,0.450,0.074,58.430,1.580,12.605,4.820,2.260,0.590,0.660,0.490,0.017,182,99,92,7,5.995,6.520,160,23.20,,
1999.11.01,99L1378,020058,1,0,1999.11.08,1230,3.870,0.089,0.430,0.072,62.860,1.110,13.254,5.290,2.320,0.570,0.680,0.420,0.154,228,110,111,0,6.095,6.430,120,23.66,,
1999.12.01,99L1502,020058,1,0,1999.12.09,1255,4.160,0.208,0.450,0.069,57.100,1.160,13.469,5.140,2.240,0.570,0.730,0.460,0.174,224,118,102,16,5.881,6.380,140,23.80,,
2000.01.01,00L0057,020058,1,0,2000.01.11,1215,4.820,0.636,0.410,0.081,22.150,1.760,14.259,7.250,2.490,0.650,0.740,0.510,0.160,273,147,132,15,5.588,6.030,100,26.43,,
2000.02.01,00L0147,020058,1,0.5,2000.02.10,1330,4.730,0.599,0.430,0.080,50.300,1.800,13.904,7.060,2.500,0.670,0.710,0.470,0.275,243,132,112,20,5.635,6.130,120,26.26,,
2000.03.01,00L0225,020058,1,0,2000.03.07,1300,4.410,1.610,0.400,0.069,25.850,2.180,12.319,6.770,2.210,0.570,0.590,0.510,0.147,206,130,112,18,5.232,5.500,140,26.43,,
2000.04.01,00L0408,020058,1,0,2000.04.11,1310,3.110,1.735,0.260,0.057,4.330,1.280,11.141,5.690,1.620,0.400,0.390,0.600,0.012,271,173,135,38,4.877,4.940,90,23.07,,
2000.05.01,00L0560,020058,1,0,2000.05.09,1315,3.370,0.834,0.280,0.064,22.260,0.680,10.202,4.580,1.750,0.440,0.440,0.450,0.049,191,112,101,11,5.430,5.640,80,19.50,,
2000.06.01,00L0683,020058,1,0,2000.06.12,1230,3.270,0.042,0.240,0.074,34.270,0.840,13.708,2.080,1.720,0.450,0.470,0.470,0.042,274,135,113,22,5.643,5.850,140,19.21,,
2000.07.01,00L0885,020058,1,0,2000.07.13,1250,3.170,0.025,0.230,0.077,38.200,0.490,13.702,1.540,1.680,0.500,0.510,0.430,-0.006,241,126,105,21,5.909,6.120,100,18.81,,
2000.08.01,00L1042,020058,1,0,2000.08.09,1340,3.000,0.016,0.230,0.080,40.760,0.890,12.253,1.730,1.790,0.440,0.550,0.370,0.004,199,94,77,17,5.877,6.230,90,18.80,,
2000.09.01,00L1233,020058,1,0,2000.09.14,1240,3.210,0.020,0.230,0.077,46.980,1.370,12.651,2.050,1.700,0.510,0.690,0.540,0.010,143,79,71,8,6.117,6.330,90,19.10,,
2000.10.01,00L1336,020058,1,0,2000.10.11,1315,3.820,0.016,0.330,0.082,57.510,2.050,10.023,5.780,1.840,0.610,0.790,0.440,0.010,172,89,75,14,5.983,6.690,120,21.38,,
2000.11.01,00L1461,020058,1,0,2000.11.09,1312,3.840,0.036,0.350,0.076,85.310,2.230,8.892,7.150,2.190,0.670,0.850,0.470,0.144,134,79,68,11,6.127,6.950,100,24.50,,
2000.12.01,00L1533,020058,1,0,2000.12.11,1320,4.160,0.124,0.460,0.077,82.240,1.310,10.517,7.260,2.350,0.660,0.870,0.490,0.162,155,73,69,4,6.372,6.920,120,25.70,,
2001.01.01,01L0083,020058,1,0,2001.01.11,1410,4.060,0.227,0.390,0.077,74.950,2.150,10.072,7.510,2.240,0.660,0.830,0.520,0.129,174,94,90,4,6.101,6.720,90,24.90,,
2001.02.01,01L0155,020058,1,0.5,2001.02.12,1250,3.890,0.218,0.370,0.078,74.350,2.420,9.746,6.140,2.130,0.610,0.830,0.460,0.182,153,89,80,9,6.126,6.800,90,24.10,,
2001.03.01,01L0229,020058,1,0.5,2001.03.08,1310,3.980,0.194,0.370,0.071,78.170,2.490,9.811,6.890,2.260,0.640,0.800,0.490,0.191,156,128,68,60,6.064,6.820,100,24.90,,
2001.04.01,01L0377,020058,1,0,2001.04.10,1200,4.330,0.624,0.410,0.076,68.980,2.420,10.862,7.530,2.420,0.680,0.870,0.530,0.180,173,87,72,15,6.021,6.720,110,26.04,,
2001.05.01,01L0492,020058,1,0,2001.05.07,1320,3.060,0.903,0.270,0.066,31.970,0.960,9.186,5.350,1.670,0.480,0.620,0.550,0.031,162,79,71,8,5.825,6.300,90,19.31,,
2001.06.01,01L0672,020058,1,0,2001.06.14,1200,3.010,0.012,0.240,0.074,40.770,0.710,10.431,3.930,1.840,0.470,0.580,0.480,0.015,221,84,78,6,6.101,6.300,90,18.60,,
2001.07.01,01L0957,020058,1,0,2001.07.12,1235,2.950,0.038,0.390,0.054,41.660,0.760,10.542,2.650,1.790,0.470,0.590,0.360,0.009,180,73,71,2,5.913,6.380,110,17.54,,
2001.08.01,01L1166,020058,1,0,2001.08.07,1210,2.960,0.049,0.230,0.076,52.750,0.860,10.187,0.930,1.820,0.480,0.600,0.360,0.021,135,65,65,0,6.091,6.320,90,18.23,,
2001.09.01,01L1439,020058,1,0,2001.09.10,1205,3.600,0.020,0.220,0.077,41.970,0.820,9.588,1.080,2.020,0.520,0.590,0.400,0.028,140,70,61,9,6.028,6.540,90,19.50,,
2001.10.01,01L1657,020058,1,0,2001.10.15,1225,3.570,0.040,0.310,0.065,48.130,0.970,8.997,1.650,1.950,0.520,0.630,0.500,0.010,152,75,74,1,6.097,6.610,100,19.70,,
2001.11.01,01L1751,020058,1,0,2001.11.15,1145,3.680,0.116,0.310,0.070,70.560,1.090,9.784,3.600,2.370,0.580,0.660,0.480,0.142,150,66,56,10,6.348,6.800,100,23.07,,
2001.12.01,01L1843,020058,1,0,2001.12.11,1230,3.970,0.202,0.340,0.067,67.370,0.980,9.442,3.890,2.350,0.590,0.670,0.470,0.156,172,57,53,4,6.377,6.730,120,23.70,,
2002.01.01,02L0063,020058,1,0,2002.01.10,1300,4.130,0.251,0.350,0.070,67.470,0.950,8.777,3.320,2.460,0.610,0.710,0.480,0.155,155,67,55,12,6.389,6.740,160,24.20,,
2002.02.01,02L0161,020058,1,0.5,2002.02.12,1255,3.890,0.268,0.380,0.073,64.090,1.110,9.461,3.600,2.230,0.600,0.700,0.470,0.190,154,61,60,1,6.347,6.760,140,23.76,,
2002.03.01,02L0208,020058,1,0.5,2002.03.05,1150,4.220,0.530,0.400,0.074,62.080,1.260,9.959,3.820,2.310,0.600,0.710,0.480,0.215,168,66,63,3,6.222,6.690,140,25.15,,
